SNo,ObservationDate,Province/State,UF,Country/Region,Last Update,Confirmed,Deaths,Recovered
28177,05/22/2020,Amapa,AP,Brazil,02/04/2021 15:13,5655.0,157.0,0.0
28178,05/22/2020,Amazonas,AM,Brazil,02/04/2021 15:13,27038.0,1669.0,0.0
28194,05/22/2020,Bahia,BA,Brazil,02/04/2021 15:13,12557.0,399.0,0.0
28220,05/22/2020,Ceara,CE,Brazil,02/04/2021 15:13,34573.0,2251.0,0.0
28237,05/22/2020,Distrito Federal,DF,Brazil,02/04/2021 15:13,5948.0,90.0,0.0
28240,05/22/2020,Espirito Santo,ES,Brazil,02/04/2021 15:13,9520.0,397.0,0.0
28253,05/22/2020,Goias,GO,Brazil,02/04/2021 15:13,2304.0,93.0,0.0
28300,05/22/2020,Maranhao,MA,Brazil,02/04/2021 15:13,17212.0,693.0,0.0
28305,05/22/2020,Mato Grosso,MT,Brazil,02/04/2021 15:13,1220.0,37.0,0.0
28306,05/22/2020,Mato Grosso do Sul,MS,Brazil,02/04/2021 15:13,805.0,17.0,0.0
28315,05/22/2020,Minas Gerais,MG,Brazil,02/04/2021 15:13,5995.0,201.0,0.0
28357,05/22/2020,Para,PA,Brazil,02/04/2021 15:13,21469.0,1937.0,0.0
28358,05/22/2020,Paraiba,PB,Brazil,02/04/2021 15:13,6882.0,248.0,0.0
28359,05/22/2020,Parana,PR,Brazil,02/04/2021 15:13,2939.0,146.0,0.0
28361,05/22/2020,Pernambuco,PE,Brazil,02/04/2021 15:13,25760.0,2057.0,0.0
28362,05/22/2020,Piaui,PI,Brazil,02/04/2021 15:13,3074.0,93.0,0.0
28377,05/22/2020,Rio Grande do Norte,RN,Brazil,02/04/2021 15:13,4251.0,181.0,0.0
28378,05/22/2020,Rio Grande do Sul,RS,Brazil,02/04/2021 15:13,5918.0,172.0,0.0
28379,05/22/2020,Rio de Janeiro,RJ,Brazil,02/04/2021 15:13,33589.0,3657.0,0.0
28380,05/22/2020,Rondonia,RO,Brazil,02/04/2021 15:13,2774.0,106.0,0.0
28381,05/22/2020,Roraima,RR,Brazil,02/04/2021 15:13,2306.0,83.0,0.0
28389,05/22/2020,Santa Catarina,SC,Brazil,02/04/2021 15:13,6458.0,100.0,0.0
28390,05/22/2020,Sao Paulo,SP,Brazil,02/04/2021 15:13,76871.0,5773.0,0.0
28394,05/22/2020,Sergipe,SE,Brazil,02/04/2021 15:13,4922.0,82.0,0.0
28418,05/22/2020,Tocantins,TO,Brazil,02/04/2021 15:13,2205.0,49.0,0.0
28627,05/23/2020,Acre,AC,Brazil,02/04/2021 15:13,3867.0,87.0,0.0
28630,05/23/2020,Alagoas,AL,Brazil,02/04/2021 15:13,5630.0,301.0,0.0
28633,05/23/2020,Amapa,AP,Brazil,02/04/2021 15:13,6091.0,162.0,0.0
28634,05/23/2020,Amazonas,AM,Brazil,02/04/2021 15:13,28802.0,1744.0,0.0
28650,05/23/2020,Bahia,BA,Brazil,02/04/2021 15:13,13000.0,413.0,0.0
28676,05/23/2020,Ceara,CE,Brazil,02/04/2021 15:13,35122.0,2308.0,0.0
28693,05/23/2020,Distrito Federal,DF,Brazil,02/04/2021 15:13,6251.0,95.0,0.0
28696,05/23/2020,Espirito Santo,ES,Brazil,02/04/2021 15:13,9918.0,417.0,0.0
28709,05/23/2020,Goias,GO,Brazil,02/04/2021 15:13,2377.0,95.0,0.0
28756,05/23/2020,Maranhao,MA,Brazil,02/04/2021 15:13,18767.0,722.0,0.0
28761,05/23/2020,Mato Grosso,MT,Brazil,02/04/2021 15:13,1352.0,37.0,0.0
28762,05/23/2020,Mato Grosso do Sul,MS,Brazil,02/04/2021 15:13,858.0,17.0,0.0
28771,05/23/2020,Minas Gerais,MG,Brazil,02/04/2021 15:13,6338.0,217.0,0.0
28813,05/23/2020,Para,PA,Brazil,02/04/2021 15:13,22697.0,2001.0,0.0
28814,05/23/2020,Paraiba,PB,Brazil,02/04/2021 15:13,7508.0,258.0,0.0
28815,05/23/2020,Parana,PR,Brazil,02/04/2021 15:13,3099.0,150.0,0.0
28817,05/23/2020,Pernambuco,PE,Brazil,02/04/2021 15:13,26786.0,2144.0,0.0
28818,05/23/2020,Piaui,PI,Brazil,02/04/2021 15:13,3258.0,99.0,0.0
28833,05/23/2020,Rio Grande do Norte,RN,Brazil,02/04/2021 15:13,4599.0,184.0,0.0
28834,05/23/2020,Rio Grande do Sul,RS,Brazil,02/04/2021 15:13,6336.0,176.0,0.0
28835,05/23/2020,Rio de Janeiro,RJ,Brazil,02/04/2021 15:13,34533.0,3905.0,0.0
28836,05/23/2020,Rondonia,RO,Brazil,02/04/2021 15:13,3109.0,115.0,0.0
28837,05/23/2020,Roraima,RR,Brazil,02/04/2021 15:13,2374.0,81.0,0.0
28845,05/23/2020,Santa Catarina,SC,Brazil,02/04/2021 15:13,6607.0,103.0,0.0
28846,05/23/2020,Sao Paulo,SP,Brazil,02/04/2021 15:13,80558.0,6045.0,0.0
28850,05/23/2020,Sergipe,SE,Brazil,02/04/2021 15:13,5131.0,86.0,0.0
28874,05/23/2020,Tocantins,TO,Brazil,02/04/2021 15:13,2430.0,51.0,0.0
29083,05/24/2020,Acre,AC,Brazil,02/04/2021 15:13,4160.0,92.0,0.0
29086,05/24/2020,Alagoas,AL,Brazil,02/04/2021 15:13,6214.0,316.0,0.0
29089,05/24/2020,Amapa,AP,Brazil,02/04/2021 15:13,6353.0,163.0,0.0
29090,05/24/2020,Amazonas,AM,Brazil,02/04/2021 15:13,29867.0,1758.0,0.0
29106,05/24/2020,Bahia,BA,Brazil,02/04/2021 15:13,13899.0,460.0,0.0
29132,05/24/2020,Ceara,CE,Brazil,02/04/2021 15:13,35595.0,2324.0,0.0
29149,05/24/2020,Distrito Federal,DF,Brazil,02/04/2021 15:13,6638.0,104.0,0.0
29152,05/24/2020,Espirito Santo,ES,Brazil,02/04/2021 15:13,10007.0,446.0,0.0
29165,05/24/2020,Goias,GO,Brazil,02/04/2021 15:13,2443.0,95.0,0.0
29212,05/24/2020,Maranhao,MA,Brazil,02/04/2021 15:13,21191.0,754.0,0.0
29217,05/24/2020,Mato Grosso,MT,Brazil,02/04/2021 15:13,1462.0,40.0,0.0
29218,05/24/2020,Mato Grosso do Sul,MS,Brazil,02/04/2021 15:13,924.0,17.0,0.0
29227,05/24/2020,Minas Gerais,MG,Brazil,02/04/2021 15:13,6668.0,226.0,0.0
29269,05/24/2020,Para,PA,Brazil,02/04/2021 15:13,24125.0,2148.0,0.0
29270,05/24/2020,Paraiba,PB,Brazil,02/04/2021 15:13,7823.0,272.0,0.0
29271,05/24/2020,Parana,PR,Brazil,02/04/2021 15:13,3212.0,153.0,0.0
29273,05/24/2020,Pernambuco,PE,Brazil,02/04/2021 15:13,27759.0,2200.0,0.0
29274,05/24/2020,Piaui,PI,Brazil,02/04/2021 15:13,3390.0,107.0,0.0
29289,05/24/2020,Rio Grande do Norte,RN,Brazil,02/04/2021 15:13,4697.0,200.0,0.0
29290,05/24/2020,Rio Grande do Sul,RS,Brazil,02/04/2021 15:13,6470.0,180.0,0.0
29291,05/24/2020,Rio de Janeiro,RJ,Brazil,02/04/2021 15:13,37912.0,3993.0,0.0
29292,05/24/2020,Rondonia,RO,Brazil,02/04/2021 15:13,3201.0,121.0,0.0
29293,05/24/2020,Roraima,RR,Brazil,02/04/2021 15:13,2439.0,84.0,0.0
29301,05/24/2020,Santa Catarina,SC,Brazil,02/04/2021 15:13,6696.0,105.0,0.0
29302,05/24/2020,Sao Paulo,SP,Brazil,02/04/2021 15:13,82161.0,6163.0,0.0
29306,05/24/2020,Sergipe,SE,Brazil,02/04/2021 15:13,5314.0,93.0,0.0
29330,05/24/2020,Tocantins,TO,Brazil,02/04/2021 15:13,2591.0,52.0,0.0
29539,05/25/2020,Acre,AC,Brazil,02/04/2021 15:13,4501.0,97.0,0.0
29542,05/25/2020,Alagoas,AL,Brazil,02/04/2021 15:13,6682.0,337.0,0.0
29545,05/25/2020,Amapa,AP,Brazil,02/04/2021 15:13,6584.0,168.0,0.0
29546,05/25/2020,Amazonas,AM,Brazil,02/04/2021 15:13,30282.0,1781.0,0.0
29562,05/25/2020,Bahia,BA,Brazil,02/04/2021 15:13,14204.0,477.0,0.0
29588,05/25/2020,Ceara,CE,Brazil,02/04/2021 15:13,36185.0,2493.0,0.0
29605,05/25/2020,Distrito Federal,DF,Brazil,02/04/2021 15:13,6930.0,114.0,0.0
29608,05/25/2020,Espirito Santo,ES,Brazil,02/04/2021 15:13,10365.0,465.0,0.0
29621,05/25/2020,Goias,GO,Brazil,02/04/2021 15:13,2512.0,96.0,0.0
29668,05/25/2020,Maranhao,MA,Brazil,02/04/2021 15:13,22786.0,784.0,0.0
29673,05/25/2020,Mato Grosso,MT,Brazil,02/04/2021 15:13,1500.0,41.0,0.0
29674,05/25/2020,Mato Grosso do Sul,MS,Brazil,02/04/2021 15:13,1023.0,17.0,0.0
29683,05/25/2020,Minas Gerais,MG,Brazil,02/04/2021 15:13,6962.0,230.0,0.0
29725,05/25/2020,Para,PA,Brazil,02/04/2021 15:13,26077.0,2372.0,0.0
29726,05/25/2020,Paraiba,PB,Brazil,02/04/2021 15:13,8016.0,279.0,0.0
29727,05/25/2020,Parana,PR,Brazil,02/04/2021 15:13,3331.0,156.0,0.0
29729,05/25/2020,Pernambuco,PE,Brazil,02/04/2021 15:13,28366.0,2248.0,0.0
29730,05/25/2020,Piaui,PI,Brazil,02/04/2021 15:13,3550.0,110.0,0.0
29745,05/25/2020,Rio Grande do Norte,RN,Brazil,02/04/2021 15:13,4759.0,209.0,0.0
29746,05/25/2020,Rio Grande do Sul,RS,Brazil,02/04/2021 15:13,6559.0,197.0,0.0
29747,05/25/2020,Rio de Janeiro,RJ,Brazil,02/04/2021 15:13,39298.0,4105.0,0.0
29748,05/25/2020,Rondonia,RO,Brazil,02/04/2021 15:13,3268.0,121.0,0.0
29749,05/25/2020,Roraima,RR,Brazil,02/04/2021 15:13,2514.0,86.0,0.0
29757,05/25/2020,Santa Catarina,SC,Brazil,02/04/2021 15:13,6875.0,109.0,0.0
29758,05/25/2020,Sao Paulo,SP,Brazil,02/04/2021 15:13,83625.0,6220.0,0.0
29762,05/25/2020,Sergipe,SE,Brazil,02/04/2021 15:13,5448.0,103.0,0.0
29786,05/25/2020,Tocantins,TO,Brazil,02/04/2021 15:13,2696.0,58.0,0.0
29995,05/26/2020,Acre,AC,Brazil,02/04/2021 15:13,4781.0,105.0,0.0
29998,05/26/2020,Alagoas,AL,Brazil,02/04/2021 15:13,7058.0,354.0,0.0
30001,05/26/2020,Amapa,AP,Brazil,02/04/2021 15:13,6967.0,173.0,0.0
30002,05/26/2020,Amazonas,AM,Brazil,02/04/2021 15:13,31949.0,1852.0,0.0
30018,05/26/2020,Bahia,BA,Brazil,02/04/2021 15:13,14566.0,495.0,0.0
30044,05/26/2020,Ceara,CE,Brazil,02/04/2021 15:13,37021.0,2603.0,0.0
30061,05/26/2020,Distrito Federal,DF,Brazil,02/04/2021 15:13,7210.0,124.0,0.0
30064,05/26/2020,Espirito Santo,ES,Brazil,02/04/2021 15:13,10889.0,487.0,0.0
30077,05/26/2020,Goias,GO,Brazil,02/04/2021 15:13,2671.0,104.0,0.0
30124,05/26/2020,Maranhao,MA,Brazil,02/04/2021 15:13,24278.0,817.0,0.0
30129,05/26/2020,Mato Grosso,MT,Brazil,02/04/2021 15:13,1628.0,43.0,0.0
30130,05/26/2020,Mato Grosso do Sul,MS,Brazil,02/04/2021 15:13,1100.0,17.0,0.0
30139,05/26/2020,Minas Gerais,MG,Brazil,02/04/2021 15:13,7516.0,234.0,0.0
30181,05/26/2020,Para,PA,Brazil,02/04/2021 15:13,28600.0,2469.0,0.0
30182,05/26/2020,Paraiba,PB,Brazil,02/04/2021 15:13,8919.0,286.0,0.0
30183,05/26/2020,Parana,PR,Brazil,02/04/2021 15:13,3512.0,159.0,0.0
30185,05/26/2020,Pernambuco,PE,Brazil,02/04/2021 15:13,28854.0,2328.0,0.0
30186,05/26/2020,Piaui,PI,Brazil,02/04/2021 15:13,3720.0,119.0,0.0
30201,05/26/2020,Rio Grande do Norte,RN,Brazil,02/04/2021 15:13,5472.0,220.0,0.0
30202,05/26/2020,Rio Grande do Sul,RS,Brazil,02/04/2021 15:13,6785.0,203.0,0.0
30203,05/26/2020,Rio de Janeiro,RJ,Brazil,02/04/2021 15:13,40024.0,4361.0,0.0
30204,05/26/2020,Rondonia,RO,Brazil,02/04/2021 15:13,3493.0,133.0,0.0
30205,05/26/2020,Roraima,RR,Brazil,02/04/2021 15:13,2583.0,102.0,0.0
30213,05/26/2020,Santa Catarina,SC,Brazil,02/04/2021 15:13,7016.0,121.0,0.0
30214,05/26/2020,Sao Paulo,SP,Brazil,02/04/2021 15:13,86017.0,6423.0,0.0
30218,05/26/2020,Sergipe,SE,Brazil,02/04/2021 15:13,5735.0,116.0,0.0
30242,05/26/2020,Tocantins,TO,Brazil,02/04/2021 15:13,2858.0,64.0,0.0
30451,05/27/2020,Acre,AC,Brazil,02/04/2021 15:13,5251.0,113.0,0.0
30454,05/27/2020,Alagoas,AL,Brazil,02/04/2021 15:13,7580.0,368.0,0.0
30457,05/27/2020,Amapa,AP,Brazil,02/04/2021 15:13,7619.0,183.0,0.0
30458,05/27/2020,Amazonas,AM,Brazil,02/04/2021 15:13,33508.0,1891.0,0.0
30474,05/27/2020,Bahia,BA,Brazil,02/04/2021 15:13,15070.0,531.0,0.0
30500,05/27/2020,Ceara,CE,Brazil,02/04/2021 15:13,37275.0,2671.0,0.0
30517,05/27/2020,Distrito Federal,DF,Brazil,02/04/2021 15:13,7761.0,133.0,0.0
30520,05/27/2020,Espirito Santo,ES,Brazil,02/04/2021 15:13,11484.0,511.0,0.0
30533,05/27/2020,Goias,GO,Brazil,02/04/2021 15:13,2843.0,108.0,0.0
30580,05/27/2020,Maranhao,MA,Brazil,02/04/2021 15:13,26145.0,853.0,0.0
30585,05/27/2020,Mato Grosso,MT,Brazil,02/04/2021 15:13,1839.0,46.0,0.0
30586,05/27/2020,Mato Grosso do Sul,MS,Brazil,02/04/2021 15:13,1186.0,18.0,0.0
30595,05/27/2020,Minas Gerais,MG,Brazil,02/04/2021 15:13,8011.0,240.0,0.0
30637,05/27/2020,Para,PA,Brazil,02/04/2021 15:13,31033.0,2545.0,0.0
30638,05/27/2020,Paraiba,PB,Brazil,02/04/2021 15:13,10209.0,298.0,0.0
30639,05/27/2020,Parana,PR,Brazil,02/04/2021 15:13,3712.0,162.0,0.0
30641,05/27/2020,Pernambuco,PE,Brazil,02/04/2021 15:13,29919.0,2468.0,0.0
30642,05/27/2020,Piaui,PI,Brazil,02/04/2021 15:13,3966.0,134.0,0.0
30657,05/27/2020,Rio Grande do Norte,RN,Brazil,02/04/2021 15:13,5630.0,242.0,0.0
30658,05/27/2020,Rio Grande do Sul,RS,Brazil,02/04/2021 15:13,7048.0,209.0,0.0
30659,05/27/2020,Rio de Janeiro,RJ,Brazil,02/04/2021 15:13,42398.0,4605.0,0.0
30660,05/27/2020,Rondonia,RO,Brazil,02/04/2021 15:13,3862.0,137.0,0.0
30661,05/27/2020,Roraima,RR,Brazil,02/04/2021 15:13,2682.0,102.0,0.0
30669,05/27/2020,Santa Catarina,SC,Brazil,02/04/2021 15:13,7372.0,126.0,0.0
30670,05/27/2020,Sao Paulo,SP,Brazil,02/04/2021 15:13,89483.0,6712.0,0.0
30674,05/27/2020,Sergipe,SE,Brazil,02/04/2021 15:13,5912.0,127.0,0.0
30698,05/27/2020,Tocantins,TO,Brazil,02/04/2021 15:13,3023.0,65.0,0.0
30904,05/28/2020,Acre,AC,Brazil,02/04/2021 15:13,5600.0,122.0,0.0
30909,05/28/2020,Alagoas,AL,Brazil,02/04/2021 15:13,8055.0,385.0,0.0
30912,05/28/2020,Amapa,AP,Brazil,02/04/2021 15:13,8152.0,198.0,0.0
30913,05/28/2020,Amazonas,AM,Brazil,02/04/2021 15:13,36146.0,1964.0,0.0
30939,05/28/2020,Bahia,BA,Brazil,02/04/2021 15:13,15963.0,570.0,0.0
30974,05/28/2020,Ceara,CE,Brazil,02/04/2021 15:13,37821.0,2733.0,0.0
30997,05/28/2020,Distrito Federal,DF,Brazil,02/04/2021 15:13,8300.0,142.0,0.0
31001,05/28/2020,Espirito Santo,ES,Brazil,02/04/2021 15:13,12203.0,538.0,0.0
31018,05/28/2020,Goias,GO,Brazil,02/04/2021 15:13,3090.0,115.0,0.0
31089,05/28/2020,Maranhao,MA,Brazil,02/04/2021 15:13,27979.0,887.0,0.0
31094,05/28/2020,Mato Grosso,MT,Brazil,02/04/2021 15:13,1951.0,51.0,0.0
31095,05/28/2020,Mato Grosso do Sul,MS,Brazil,02/04/2021 15:13,1262.0,18.0,0.0
31106,05/28/2020,Minas Gerais,MG,Brazil,02/04/2021 15:13,8686.0,255.0,0.0
31161,05/28/2020,Para,PA,Brazil,02/04/2021 15:13,33699.0,2704.0,0.0
31162,05/28/2020,Paraiba,PB,Brazil,02/04/2021 15:13,11132.0,318.0,0.0
31163,05/28/2020,Parana,PR,Brazil,02/04/2021 15:13,3984.0,169.0,0.0
31166,05/28/2020,Pernambuco,PE,Brazil,02/04/2021 15:13,30713.0,2566.0,0.0
31167,05/28/2020,Piaui,PI,Brazil,02/04/2021 15:13,4243.0,138.0,0.0
31187,05/28/2020,Rio Grande do Norte,RN,Brazil,02/04/2021 15:13,5630.0,254.0,0.0
31188,05/28/2020,Rio Grande do Sul,RS,Brazil,02/04/2021 15:13,8234.0,213.0,0.0
31189,05/28/2020,Rio de Janeiro,RJ,Brazil,02/04/2021 15:13,44886.0,4856.0,0.0
31191,05/28/2020,Rondonia,RO,Brazil,02/04/2021 15:13,4252.0,142.0,0.0
31192,05/28/2020,Roraima,RR,Brazil,02/04/2021 15:13,2959.0,102.0,0.0
31204,05/28/2020,Santa Catarina,SC,Brazil,02/04/2021 15:13,8000.0,131.0,0.0
31206,05/28/2020,Sao Paulo,SP,Brazil,02/04/2021 15:13,95865.0,6980.0,0.0
31210,05/28/2020,Sergipe,SE,Brazil,02/04/2021 15:13,6156.0,135.0,0.0
31239,05/28/2020,Tocantins,TO,Brazil,02/04/2021 15:13,3277.0,68.0,0.0
31461,05/29/2020,Acre,AC,Brazil,02/04/2021 15:13,5841.0,135.0,0.0
31466,05/29/2020,Alagoas,AL,Brazil,02/04/2021 15:13,8618.0,406.0,0.0
31469,05/29/2020,Amapa,AP,Brazil,02/04/2021 15:13,8469.0,207.0,0.0
31470,05/29/2020,Amazonas,AM,Brazil,02/04/2021 15:13,38909.0,2011.0,0.0
31496,05/29/2020,Bahia,BA,Brazil,02/04/2021 15:13,16917.0,609.0,0.0
31531,05/29/2020,Ceara,CE,Brazil,02/04/2021 15:13,38395.0,2859.0,0.0
31554,05/29/2020,Distrito Federal,DF,Brazil,02/04/2021 15:13,8722.0,154.0,0.0
31558,05/29/2020,Espirito Santo,ES,Brazil,02/04/2021 15:13,12903.0,560.0,0.0
31575,05/29/2020,Goias,GO,Brazil,02/04/2021 15:13,3319.0,119.0,0.0
31647,05/29/2020,Maranhao,MA,Brazil,02/04/2021 15:13,30482.0,911.0,0.0
31652,05/29/2020,Mato Grosso,MT,Brazil,02/04/2021 15:13,2103.0,56.0,0.0
31653,05/29/2020,Mato Grosso do Sul,MS,Brazil,02/04/2021 15:13,1356.0,18.0,0.0
31664,05/29/2020,Minas Gerais,MG,Brazil,02/04/2021 15:13,9232.0,257.0,0.0
31719,05/29/2020,Para,PA,Brazil,02/04/2021 15:13,36486.0,2827.0,0.0
31720,05/29/2020,Paraiba,PB,Brazil,02/04/2021 15:13,12011.0,327.0,0.0
31721,05/29/2020,Parana,PR,Brazil,02/04/2021 15:13,4236.0,173.0,0.0
31724,05/29/2020,Pernambuco,PE,Brazil,02/04/2021 15:13,32255.0,2669.0,0.0
31725,05/29/2020,Piaui,PI,Brazil,02/04/2021 15:13,4503.0,146.0,0.0
31745,05/29/2020,Rio Grande do Norte,RN,Brazil,02/04/2021 15:13,6463.0,268.0,0.0
31746,05/29/2020,Rio Grande do Sul,RS,Brazil,02/04/2021 15:13,8234.0,213.0,0.0
31747,05/29/2020,Rio de Janeiro,RJ,Brazil,02/04/2021 15:13,47953.0,5079.0,0.0
31749,05/29/2020,Rondonia,RO,Brazil,02/04/2021 15:13,4502.0,145.0,0.0
31750,05/29/2020,Roraima,RR,Brazil,02/04/2021 15:13,3098.0,108.0,0.0
31762,05/29/2020,Santa Catarina,SC,Brazil,02/04/2021 15:13,8530.0,134.0,0.0
31764,05/29/2020,Sao Paulo,SP,Brazil,02/04/2021 15:13,101556.0,7275.0,0.0
31768,05/29/2020,Sergipe,SE,Brazil,02/04/2021 15:13,6462.0,142.0,0.0
31797,05/29/2020,Tocantins,TO,Brazil,02/04/2021 15:13,3611.0,70.0,0.0
32019,05/30/2020,Acre,AC,Brazil,02/04/2021 15:13,6072.0,142.0,0.0
32024,05/30/2020,Alagoas,AL,Brazil,02/04/2021 15:13,9223.0,424.0,0.0
32027,05/30/2020,Amapa,AP,Brazil,02/04/2021 15:13,9313.0,215.0,0.0
32028,05/30/2020,Amazonas,AM,Brazil,02/04/2021 15:13,40560.0,2047.0,0.0
32054,05/30/2020,Bahia,BA,Brazil,02/04/2021 15:13,17626.0,638.0,0.0
32089,05/30/2020,Ceara,CE,Brazil,02/04/2021 15:13,46506.0,2956.0,0.0
32112,05/30/2020,Distrito Federal,DF,Brazil,02/04/2021 15:13,9474.0,162.0,0.0
32116,05/30/2020,Espirito Santo,ES,Brazil,02/04/2021 15:13,13437.0,583.0,0.0
32133,05/30/2020,Goias,GO,Brazil,02/04/2021 15:13,3585.0,122.0,0.0
32205,05/30/2020,Maranhao,MA,Brazil,02/04/2021 15:13,32620.0,932.0,0.0
32210,05/30/2020,Mato Grosso,MT,Brazil,02/04/2021 15:13,2361.0,57.0,0.0
32211,05/30/2020,Mato Grosso do Sul,MS,Brazil,02/04/2021 15:13,1418.0,19.0,0.0
32222,05/30/2020,Minas Gerais,MG,Brazil,02/04/2021 15:13,9630.0,263.0,0.0
32277,05/30/2020,Para,PA,Brazil,02/04/2021 15:13,37296.0,2900.0,0.0
